primary_track,program_duration_days,placed,employment_status,highest_level_of_education,biggest_challenge_in_search,work_authorization_status,number_of_interviews,number_of_applications,professional_experience_num
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Other,2.0,900,3.5
PSO,112.0,0,Unemployed,"Some College, No Degree",Interview skills,Citizen,6.0,0,1.5
Design,0.0,0,Employed,Master's Degree,Career clarity,Citizen,0.0,0,0.5
PSO,0.0,0,Contractor,Bachelor's Degree,Interview skills,Citizen,5.0,25,0.5
SWE,89.0,1,Unemployed,Bachelor's Degree,CV issue,Other,10.0,100,1.5
SWE,0.0,0,Employed,Master's Degree,Tech issue,Green Card,5.0,100,3.5
SWE,0.0,0,Employed,Master's Degree,Interview skills,Green Card,0.0,9,3.5
SWE,19.0,0,Employed,Bachelor's Degree,Interview skills,Citizen,4.0,15,1.5
SWE,112.0,0,Student,Master's Degree,Tech issue,Other,1.0,5,1.5
SWE,13.0,0,Employed,Master's Degree,Interview skills,Citizen,0.0,10,3.5
PSO,0.0,0,Unemployed,Master's Degree,CV issue,Other,0.0,3,1.5
Data,158.0,0,Unemployed,Master's Degree,Career clarity,Citizen,5.0,50,5.0
Design,12.0,0,Contractor,Bachelor's Degree,Interview skills,Green Card,3.0,10,1.5
PSO,52.0,0,Employed,Bachelor's Degree,Career clarity,Citizen,4.0,40,0.5
PSO,112.0,0,Employed,Bachelor's Degree,Tech issue,Citizen,2.0,35,1.5
PSO,112.0,0,Employed,Bachelor's Degree,Interview skills,Citizen,1.0,25,0.5
PSO,112.0,0,Student,Bachelor's Degree,Interview skills,Green Card,1.0,35,3.5
SWE,112.0,0,Student,Bachelor's Degree,Career clarity,Green Card,5.0,45,1.5
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,0.0,15,0.5
Data,13.0,0,Employed,Bachelor's Degree,Interview skills,Citizen,0.0,70,1.5
Data,112.0,0,Employed,Master's Degree,Tech issue,Citizen,3.0,30,3.5
SWE,11.0,0,Student,Master's Degree,CV issue,Other,1.0,9,3.5
SWE,93.0,0,Contractor,Bachelor's Degree,CV issue,Citizen,1.0,10,1.5
PSO,193.0,1,Unemployed,Master's Degree,CV issue,Citizen,5.0,4,1.5
SWE,112.0,0,Student,Bachelor's Degree,Career clarity,Other,0.0,130,0.5
SWE,112.0,0,Student,Bachelor's Degree,Career clarity,Citizen,2.0,15,1.5
SWE,12.0,0,Unemployed,Bachelor's Degree,Tech issue,Citizen,0.0,20,5.0
PSO,0.0,0,Employed,Bachelor's Degree,CV issue,Citizen,0.0,45,0.5
Design,13.0,0,Unemployed,Master's Degree,Interview skills,Other,0.0,110,1.5
SWE,73.0,1,Student,Master's Degree,Career clarity,Other,0.0,1,1.5
SWE,112.0,0,Student,Bachelor's Degree,Interview skills,Other,5.0,10,0.5
SWE,286.0,0,Student,Bachelor's Degree,CV issue,Other,0.0,15,1.5
SWE,112.0,0,Employed,Master's Degree,Tech issue,Other,1.0,3,0.5
SWE,5.0,0,Student,"Some College, No Degree",Career clarity,Citizen,5.0,30,5.0
Design,112.0,0,Student,Bachelor's Degree,CV issue,Other,2.0,15,1.5
Data,19.0,0,Student,Master's Degree,Interview skills,Other,3.0,9,3.5
Design,7.0,0,Contractor,Master's Degree,CV issue,Citizen,6.0,80,1.5
SWE,83.0,1,Employed,Master's Degree,Interview skills,Other,0.0,15,5.0
PSO,112.0,0,Unemployed,Master's Degree,Interview skills,Citizen,20.0,8,0.5
SWE,112.0,0,Unemployed,Bachelor's Degree,Tech issue,Citizen,2.0,80,1.5
PSO,0.0,0,Student,Master's Degree,CV issue,Other,0.0,25,1.5
PSO,13.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,0.0,60,3.5
Data,112.0,0,Student,Bachelor's Degree,CV issue,Other,4.0,35,0.5
PSO,12.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,3.0,100,3.5
SWE,112.0,0,Contractor,Master's Degree,CV issue,Other,1.0,10,5.0
SWE,14.0,0,Employed,Bachelor's Degree,Interview skills,Other,0.0,50,0.5
SWE,16.0,0,Employed,Bachelor's Degree,CV issue,Citizen,0.0,35,0.5
Design,15.0,0,Unemployed,Bachelor's Degree,Tech issue,Citizen,2.0,7,0.5
PSO,112.0,0,Employed,Bachelor's Degree,CV issue,Citizen,0.0,10,5.0
SWE,112.0,0,Unemployed,Bachelor's Degree,Career clarity,Citizen,3.0,100,0.5
PSO,112.0,0,Employed,Master's Degree,Interview skills,Citizen,2.0,20,1.5
PSO,112.0,0,Unemployed,Master's Degree,Interview skills,Other,6.0,35,0.5
SWE,76.0,1,Student,Master's Degree,Interview skills,Other,0.0,30,3.5
SWE,0.0,0,Student,Doctorate or Professional Degree,Interview skills,Citizen,5.0,60,3.5
SWE,0.0,0,Student,Bachelor's Degree,Interview skills,Green Card,2.0,2,0.5
Data,112.0,0,Employed,Master's Degree,Tech issue,Citizen,1.0,0,1.5
SWE,0.0,0,Unemployed,"Some College, No Degree",Tech issue,Citizen,10.0,50,0.5
Design,0.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,1.0,80,1.5
Data,223.0,1,Employed,"Some College, No Degree",Interview skills,Citizen,0.0,2,5.0
SWE,65.0,1,Unemployed,Bachelor's Degree,Interview skills,Other,0.0,0,1.5
Data,305.0,1,Student,Bachelor's Degree,CV issue,Citizen,1.0,70,1.5
SWE,187.0,1,Contractor,Bachelor's Degree,Tech issue,Other,1.0,4,0.5
Data,142.0,1,Student,Master's Degree,CV issue,Other,4.0,7,1.5
SWE,266.0,1,Employed,Bachelor's Degree,Interview skills,Citizen,1.0,20,0.5
SWE,170.0,1,Employed,Master's Degree,CV issue,Citizen,5.0,3,1.5
SWE,332.0,1,Student,Bachelor's Degree,Interview skills,Citizen,0.0,8,1.5
SWE,112.0,0,Student,Master's Degree,CV issue,Citizen,1.0,6,0.5
SWE,156.0,1,Unemployed,Bachelor's Degree,Career clarity,Citizen,1.0,4,1.5
SWE,143.0,1,Student,Bachelor's Degree,Interview skills,Other,1.0,40,3.5
SWE,73.0,1,Student,Master's Degree,Interview skills,Citizen,2.0,15,0.5
SWE,245.0,1,Unemployed,Bachelor's Degree,CV issue,Citizen,4.0,200,5.0
SWE,243.0,1,Student,Bachelor's Degree,Interview skills,Other,5.0,4,1.5
Data,233.0,0,Employed,Bachelor's Degree,CV issue,Green Card,0.0,15,1.5
Design,45.0,1,Contractor,Master's Degree,Interview skills,Citizen,1.0,140,1.5
Design,87.0,1,Student,Doctorate or Professional Degree,Interview skills,Other,5.0,35,3.5
SWE,243.0,1,Unemployed,Master's Degree,CV issue,Citizen,3.0,25,3.5
SWE,271.0,1,Student,Bachelor's Degree,Interview skills,Citizen,0.0,80,3.5
SWE,129.0,1,Student,Bachelor's Degree,Career clarity,Other,4.0,10,0.5
SWE,317.0,1,Employed,Master's Degree,Career clarity,Citizen,4.0,35,3.5
Design,112.0,0,Employed,Master's Degree,CV issue,Citizen,2.0,4,1.5
SWE,62.0,1,Student,Bachelor's Degree,CV issue,Citizen,0.0,4,3.5
SWE,69.0,1,Student,Master's Degree,Tech issue,Other,0.0,7,1.5
SWE,177.0,1,Student,Bachelor's Degree,Career clarity,Other,1.0,2,3.5
SWE,38.0,1,Student,Master's Degree,Tech issue,Citizen,1.0,70,0.5
SWE,274.0,0,Employed,Bachelor's Degree,Tech issue,Other,0.0,20,1.5
SWE,284.0,0,Student,Bachelor's Degree,Interview skills,Other,7.0,3,3.5
SWE,59.0,1,Student,"Some College, No Degree",Career clarity,Other,1.0,70,0.5
SWE,16.0,0,Unemployed,Doctorate or Professional Degree,Interview skills,Citizen,4.0,45,1.5
Data,112.0,0,Contractor,Bachelor's Degree,Tech issue,Citizen,0.0,25,3.5
SWE,97.0,1,Contractor,Bachelor's Degree,Interview skills,Citizen,3.0,45,0.5
SWE,144.0,1,Student,Master's Degree,Tech issue,Other,1.0,15,0.5
Data,47.0,1,Student,Bachelor's Degree,Career clarity,Other,0.0,4,3.5
PSO,234.0,1,Employed,"Some College, No Degree",Career clarity,Other,2.0,0,1.5
SWE,24.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,1.0,70,1.5
SWE,170.0,0,Employed,Master's Degree,Career clarity,Other,1.0,15,1.5
Data,282.0,0,Contractor,"Some College, No Degree",Interview skills,Other,0.0,10,1.5
SWE,310.0,0,Student,Master's Degree,Career clarity,Other,1.0,60,3.5
Design,163.0,1,Student,Master's Degree,Interview skills,Other,6.0,6,5.0
SWE,177.0,1,Student,Bachelor's Degree,Interview skills,Other,6.0,60,0.5
SWE,240.0,0,Student,Master's Degree,Interview skills,Citizen,0.0,60,1.5
SWE,93.0,0,Student,Master's Degree,Interview skills,Citizen,1.0,15,0.5
PSO,268.0,0,Student,Master's Degree,Career clarity,Other,0.0,140,3.5
Design,112.0,0,Unemployed,Master's Degree,Interview skills,Other,17.0,15,5.0
SWE,53.0,1,Student,Bachelor's Degree,CV issue,Citizen,10.0,30,5.0
SWE,128.0,0,Employed,Master's Degree,Interview skills,Citizen,2.0,190,1.5
SWE,137.0,0,Student,Bachelor's Degree,Career clarity,Citizen,1.0,80,0.5
SWE,116.0,1,Student,Bachelor's Degree,Career clarity,Green Card,0.0,3,0.5
SWE,107.0,1,Contractor,Master's Degree,Interview skills,Citizen,0.0,25,3.5
SWE,184.0,0,Employed,Master's Degree,CV issue,Citizen,1.0,25,5.0
SWE,128.0,0,Unemployed,Bachelor's Degree,Interview skills,Other,0.0,7,3.5
PSO,296.0,0,Employed,Bachelor's Degree,Tech issue,Other,0.0,5,0.5
SWE,19.0,1,Employed,Bachelor's Degree,CV issue,Other,4.0,40,0.5
SWE,135.0,1,Unemployed,Bachelor's Degree,Interview skills,Other,4.0,10,3.5
SWE,97.0,1,Student,Bachelor's Degree,CV issue,Citizen,2.0,20,1.5
SWE,48.0,1,Employed,Master's Degree,Interview skills,Citizen,1.0,80,0.5
SWE,41.0,1,Unemployed,Master's Degree,Interview skills,Citizen,0.0,10,3.5
PSO,184.0,0,Contractor,"Some College, No Degree",Career clarity,Citizen,2.0,5,0.5
SWE,310.0,0,Unemployed,Doctorate or Professional Degree,Career clarity,Other,1.0,60,3.5
SWE,206.0,0,Unemployed,Bachelor's Degree,Interview skills,Other,0.0,8,0.5
SWE,195.0,1,Student,Bachelor's Degree,CV issue,Other,0.0,50,1.5
SWE,185.0,0,Employed,Bachelor's Degree,Interview skills,Other,0.0,60,0.5
Design,150.0,1,Unemployed,Bachelor's Degree,Interview skills,Other,5.0,0,3.5
Data,250.0,1,Student,Master's Degree,Career clarity,Citizen,4.0,3,1.5
PSO,112.0,0,Contractor,Bachelor's Degree,Interview skills,Citizen,0.0,8,3.5
SWE,37.0,1,Unemployed,Master's Degree,CV issue,Green Card,2.0,20,0.5
SWE,67.0,1,Employed,Bachelor's Degree,CV issue,Citizen,0.0,15,1.5
Design,20.0,0,Student,Master's Degree,CV issue,Other,3.0,15,3.5
SWE,83.0,1,Unemployed,Bachelor's Degree,Interview skills,Other,0.0,6,0.5
SWE,112.0,0,Student,Bachelor's Degree,CV issue,Other,2.0,30,1.5
Design,139.0,1,Employed,Bachelor's Degree,Interview skills,Other,1.0,130,3.5
SWE,79.0,1,Contractor,Master's Degree,CV issue,Other,0.0,25,1.5
SWE,72.0,1,Unemployed,Bachelor's Degree,CV issue,Other,0.0,20,5.0
SWE,241.0,0,Employed,Master's Degree,Career clarity,Other,1.0,90,1.5
SWE,250.0,1,Student,Bachelor's Degree,CV issue,Green Card,0.0,35,0.5
SWE,119.0,1,Student,Bachelor's Degree,Interview skills,Citizen,1.0,1,3.5
Data,247.0,1,Employed,Master's Degree,Career clarity,Other,0.0,30,3.5
SWE,53.0,1,Student,Bachelor's Degree,CV issue,Citizen,0.0,15,0.5
SWE,181.0,1,Unemployed,Master's Degree,Career clarity,Citizen,1.0,10,0.5
Design,112.0,0,Employed,Bachelor's Degree,Career clarity,Citizen,1.0,80,0.5
Data,95.0,1,Unemployed,Bachelor's Degree,Interview skills,Green Card,3.0,90,0.5
SWE,145.0,1,Employed,Master's Degree,Interview skills,Other,1.0,50,0.5
SWE,360.0,1,Student,Doctorate or Professional Degree,Interview skills,Green Card,0.0,190,1.5
PSO,303.0,1,Unemployed,"Some College, No Degree",Interview skills,Other,0.0,6,3.5
Design,68.0,1,Employed,Bachelor's Degree,CV issue,Other,0.0,7,5.0
SWE,41.0,1,Student,Bachelor's Degree,CV issue,Citizen,2.0,15,1.5
SWE,234.0,0,Employed,Bachelor's Degree,Tech issue,Citizen,7.0,25,3.5
PSO,114.0,1,Student,Bachelor's Degree,Interview skills,Other,1.0,10,1.5
SWE,186.0,1,Employed,Bachelor's Degree,CV issue,Green Card,0.0,0,0.5
Design,112.0,0,Unemployed,Bachelor's Degree,Career clarity,Citizen,0.0,35,1.5
SWE,208.0,1,Unemployed,Bachelor's Degree,Career clarity,Citizen,0.0,10,1.5
SWE,234.0,1,Student,Master's Degree,Tech issue,Citizen,0.0,35,0.5
SWE,232.0,1,Employed,Bachelor's Degree,CV issue,Citizen,0.0,45,3.5
